"sid","r","n_type","heterog","theta","theta1","theta2","C","n","w12","p11","p22","p12","pi01","pi11","pi02","pi12","B"
1,0.5,"Equal","None",0.5,0.5,0.5,10,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
2,0.5,"Equal","None",0.5,0.5,0.5,10,10,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
3,0.5,"Equal","None",0.5,0.5,0.5,10,10,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
4,0.5,"Equal","None",0.5,0.5,0.5,10,10,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
5,0.5,"Equal","None",0.5,0.5,0.5,10,10,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
6,0.5,"Equal","None",0.5,0.5,0.5,10,10,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
7,0.5,"Equal","None",0.5,0.5,0.5,10,30,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
8,0.5,"Equal","None",0.5,0.5,0.5,10,30,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
9,0.5,"Equal","None",0.5,0.5,0.5,10,30,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
10,0.5,"Equal","None",0.5,0.5,0.5,10,30,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
11,0.5,"Equal","None",0.5,0.5,0.5,10,30,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
12,0.5,"Equal","None",0.5,0.5,0.5,10,30,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
13,0.5,"Equal","None",0.5,0.5,0.5,20,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
14,0.5,"Equal","None",0.5,0.5,0.5,20,10,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
15,0.5,"Equal","None",0.5,0.5,0.5,20,10,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
16,0.5,"Equal","None",0.5,0.5,0.5,20,10,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
17,0.5,"Equal","None",0.5,0.5,0.5,20,10,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
18,0.5,"Equal","None",0.5,0.5,0.5,20,10,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
19,0.5,"Equal","None",0.5,0.5,0.5,20,30,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
20,0.5,"Equal","None",0.5,0.5,0.5,20,30,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
21,0.5,"Equal","None",0.5,0.5,0.5,20,30,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
22,0.5,"Equal","None",0.5,0.5,0.5,20,30,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
23,0.5,"Equal","None",0.5,0.5,0.5,20,30,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
24,0.5,"Equal","None",0.5,0.5,0.5,20,30,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
25,0.5,"Equal","None",0.5,0.5,0.5,30,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
26,0.5,"Equal","None",0.5,0.5,0.5,30,10,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
27,0.5,"Equal","None",0.5,0.5,0.5,30,10,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
28,0.5,"Equal","None",0.5,0.5,0.5,30,10,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
29,0.5,"Equal","None",0.5,0.5,0.5,30,10,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
30,0.5,"Equal","None",0.5,0.5,0.5,30,10,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
31,0.5,"Equal","None",0.5,0.5,0.5,30,30,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
32,0.5,"Equal","None",0.5,0.5,0.5,30,30,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
33,0.5,"Equal","None",0.5,0.5,0.5,30,30,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
34,0.5,"Equal","None",0.5,0.5,0.5,30,30,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
35,0.5,"Equal","None",0.5,0.5,0.5,30,30,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
36,0.5,"Equal","None",0.5,0.5,0.5,30,30,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
37,0.5,"Equal","None",0.5,0.5,0.5,50,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
38,0.5,"Equal","None",0.5,0.5,0.5,50,10,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
39,0.5,"Equal","None",0.5,0.5,0.5,50,10,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
40,0.5,"Equal","None",0.5,0.5,0.5,50,10,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
41,0.5,"Equal","None",0.5,0.5,0.5,50,10,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
42,0.5,"Equal","None",0.5,0.5,0.5,50,10,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
43,0.5,"Equal","None",0.5,0.5,0.5,50,30,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
44,0.5,"Equal","None",0.5,0.5,0.5,50,30,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
45,0.5,"Equal","None",0.5,0.5,0.5,50,30,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
46,0.5,"Equal","None",0.5,0.5,0.5,50,30,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
47,0.5,"Equal","None",0.5,0.5,0.5,50,30,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
48,0.5,"Equal","None",0.5,0.5,0.5,50,30,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
49,0.5,"Equal","None",0.56,0.56,0.56,10,10,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
50,0.5,"Equal","None",0.56,0.56,0.56,10,10,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
51,0.5,"Equal","None",0.56,0.56,0.56,10,10,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
52,0.5,"Equal","None",0.56,0.56,0.56,10,10,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
53,0.5,"Equal","None",0.56,0.56,0.56,10,10,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
54,0.5,"Equal","None",0.56,0.56,0.56,10,10,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
55,0.5,"Equal","None",0.56,0.56,0.56,10,30,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
56,0.5,"Equal","None",0.56,0.56,0.56,10,30,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
57,0.5,"Equal","None",0.56,0.56,0.56,10,30,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
58,0.5,"Equal","None",0.56,0.56,0.56,10,30,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
