"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
1,0,0.50021024,0.0555854840077191,0.0819636297668689,0.372029884020875,0.628390595979125,0.9602,0.0398,0.0228,0.017,0.375121859297273,0.625401631423224,0.9664,0.0336,0.0198,0.0138
2,0,0.499391479999999,0.0563994642753758,0.0843775208110207,0.369334082157683,0.629448877842314,0.957,0.043,0.0222,0.0208,0.372536987999666,0.62630108087487,0.9634,0.0366,0.0184,0.0182
3,0,0.500248840000001,0.0600144135718558,0.0692221551491423,0.361855354131447,0.638642325868552,0.963,0.037,0.019,0.018,0.365580460298442,0.634845371956139,0.9682,0.0318,0.0154,0.0164
4,0,0.499640819999999,0.0603023432449076,0.068071838220157,0.360583367114742,0.638698272885258,0.9606,0.0394,0.0196,0.0198,0.364406861039444,0.634912984995764,0.9678,0.0322,0.0166,0.0156
5,0,0.500040660000001,0.0643676886814696,0.0609164764545772,0.351608503726996,0.648472816273004,0.964,0.036,0.019,0.017,0.356191492208534,0.643940806432431,0.97,0.03,0.016,0.014
6,0,0.49925004,0.0647981330283082,0.0605453706026754,0.34982527728321,0.648674802716787,0.9636,0.0364,0.0168,0.0196,0.354554775996143,0.644082067843387,0.9688,0.0312,0.0142,0.017
7,0,0.500007302222223,0.0439982016281797,0.0801850916169642,0.398547267326093,0.601467337118353,0.9504,0.0496,0.0234,0.0262,0.40012173421148,0.599869472711056,0.9526,0.0474,0.0224,0.025
8,0,0.499900264444443,0.0442221893273287,0.0794851771788452,0.397923712987843,0.601876815901045,0.951,0.049,0.0246,0.0244,0.399553948237806,0.60028280052567,0.9532,0.0468,0.0232,0.0236
9,0,0.49981467111111,0.0458424841661541,0.0655191490019594,0.394101713055928,0.605527629166295,0.9506,0.0494,0.027,0.0224,0.395880692817757,0.603740564967493,0.9566,0.0434,0.0238,0.0196
10,0,0.499307144444445,0.0462482751811822,0.0657365347058986,0.392658430630578,0.605955858258312,0.948,0.052,0.0252,0.0268,0.394534520027494,0.604166562798021,0.9516,0.0484,0.0228,0.0256
11,0,0.500730917777776,0.0476416121540178,0.0554284144530244,0.390869163142819,0.610592672412736,0.948,0.052,0.0282,0.0238,0.39284221967063,0.608582194473649,0.9534,0.0466,0.025,0.0216
12,0,0.500142542222221,0.0476933542361898,0.0540213468590102,0.390161470131811,0.610123614312633,0.9504,0.0496,0.0264,0.0232,0.392138782967461,0.608126488823049,0.9552,0.0448,0.0242,0.0206
13,0,0.50012067,0.0394447168891892,0.0815287907221707,0.417250394916434,0.582990945083566,0.944,0.056,0.027,0.029,0.418038584290915,0.582190281298501,0.948,0.052,0.0254,0.0266
14,0,0.500330870000001,0.0395817384691029,0.0800661405023423,0.417172723259206,0.583489016740794,0.9538,0.0462,0.024,0.0222,0.417968207529886,0.582675397900855,0.9554,0.0446,0.0234,0.0212
15,0,0.499229815000001,0.042252903102444,0.0662391707837345,0.410459759607907,0.587999870392091,0.9534,0.0466,0.0248,0.0218,0.411459961126379,0.58705912865782,0.9576,0.0424,0.023,0.0194
16,0,0.49933545,0.0425649838998746,0.0661749107430435,0.409909737182248,0.588761162817749,0.952,0.048,0.0232,0.0248,0.410916183747601,0.587782678318957,0.957,0.043,0.0202,0.0228
17,0,0.498543199999999,0.0450112009726489,0.0561715625001336,0.403978175818843,0.593108224181155,0.9506,0.0494,0.022,0.0274,0.405199805560111,0.591995759345055,0.9546,0.0454,0.0206,0.0248
18,0,0.499531130000001,0.0451667816115405,0.0545038071676268,0.404639243025561,0.594423016974439,0.9538,0.0462,0.0232,0.023,0.405834120315806,0.593266041893074,0.9574,0.0426,0.0216,0.021
19,0,0.499227350555557,0.0315037132384239,0.0805853318509996,0.433040505063518,0.565414196047595,0.9512,0.0488,0.0228,0.026,0.433463236786713,0.565012750734818,0.9526,0.0474,0.022,0.0254
20,0,0.500064086666666,0.0316254067132314,0.0796088736664249,0.433621572671252,0.56650660066208,0.95,0.05,0.0262,0.0238,0.434033675630854,0.566087564580012,0.9526,0.0474,0.0246,0.0228
21,0,0.499797651111113,0.0324898952808976,0.0638717222406332,0.431538914030349,0.568056388191869,0.9506,0.0494,0.0234,0.026,0.431995418265815,0.56761190022332,0.9524,0.0476,0.023,0.0246
22,0,0.499370704444444,0.0328894309071065,0.0646047305620171,0.430272574160721,0.568468834728169,0.9474,0.0526,0.0248,0.0278,0.430749228983323,0.568013021098071,0.9502,0.0498,0.0236,0.0262
23,0,0.499705357777779,0.0338129614083314,0.0541025406284258,0.428666961909194,0.570743753646362,0.9506,0.0494,0.0254,0.024,0.42917871217122,0.5702428836634,0.9538,0.0462,0.0242,0.022
24,0,0.49967831833333,0.0341322533812693,0.0543105913197018,0.427969114921533,0.571387521745133,0.9522,0.0478,0.023,0.0248,0.428497100241364,0.570871062614928,0.956,0.044,0.0206,0.0234
25,0,0.499593462222221,0.0322656314217289,0.081514201908218,0.43350031238342,0.565686612061024,0.9494,0.0506,0.0258,0.0248,0.433905161227907,0.565294985644324,0.952,0.048,0.025,0.023
26,0,0.499526680000001,0.0323931624908682,0.0801325382243919,0.433172294608371,0.565881065391629,0.9448,0.0552,0.024,0.0312,0.433584656557442,0.565488107224915,0.9476,0.0524,0.0224,0.03
27,0,0.499741886666666,0.0345903993724406,0.0664522815226824,0.428886665554608,0.570597107778725,0.9478,0.0522,0.0254,0.0268,0.429376190312064,0.570110912327555,0.9504,0.0496,0.0244,0.0252
28,0,0.501316966666667,0.0346185262662869,0.0640360519190123,0.43040413022438,0.572229803108954,0.9562,0.0438,0.0228,0.021,0.430867510285168,0.571714336739478,0.9578,0.0422,0.0218,0.0204
29,0,0.500394577777778,0.0366240581106113,0.054442875888339,0.425373595582478,0.575415559973077,0.949,0.051,0.027,0.024,0.425944157507808,0.574833321468069,0.9522,0.0478,0.0254,0.0224
30,0,0.499943173333332,0.0369867590672906,0.05480557203429,0.424179231908035,0.575707114758631,0.9532,0.0468,0.0244,0.0224,0.424776572257533,0.575115361661862,0.9554,0.0446,0.0238,0.0208
31,0,0.500475859259257,0.0258985000671205,0.0812154341274711,0.447425186759986,0.553526531758532,0.952,0.048,0.0234,0.0246,0.447625650661293,0.553313199210843,0.953,0.047,0.0228,0.0242
32,0,0.499933974320987,0.0259593056521198,0.0800883033656347,0.446758747227139,0.553109201414833,0.9522,0.0478,0.0218,0.026,0.446968658980891,0.552902146008149,0.9532,0.0468,0.0212,0.0256
33,0,0.500124946913581,0.0268130592181711,0.0652492749579593,0.4452008849177,0.55504900890946,0.9488,0.0512,0.026,0.0252,0.445429198146142,0.554817217065284,0.9508,0.0492,0.0248,0.0244
34,0,0.500160718518518,0.0268416713155821,0.0639014826734006,0.445178047297959,0.555143389739079,0.9448,0.0552,0.0308,0.0244,0.445407901372511,0.554912626910298,0.9462,0.0538,0.0298,0.024
35,0,0.499393756296297,0.0276879936321458,0.0539316953151333,0.442677472398227,0.556110040194363,0.9492,0.0508,0.0234,0.0274,0.442937383122588,0.555864885990805,0.9514,0.0486,0.0222,0.0264
36,0,0.500134692592591,0.0278647069244799,0.0535836222268367,0.443056427924457,0.557212957260727,0.9472,0.0528,0.0256,0.0272,0.443309263791565,0.556950514192136,0.9488,0.0512,0.0246,0.0266
37,0,0.500126453600001,0.02499209219797,0.0806832132619941,0.449876484361014,0.550376422838989,0.955,0.045,0.0214,0.0236,0.450047887732893,0.550203033305729,0.9562,0.0438,0.021,0.0228
38,0,0.4997496608,0.0251687213481756,0.080441650458493,0.449144554852398,0.550354766747601,0.953,0.047,0.0238,0.0232,0.449322982488463,0.550180724827531,0.9544,0.0456,0.0236,0.022
